review_title,review_text,review_star,review_date,page
Nice red phone,"Battery life is great <U+0001F44D>, it’s a nice red never had a red phone before, so easy to use and set up, I didn’t get the phone because of the camera I have a camera to take pictures but it’s good to have when you go out, but can’t do too much of that with COVID and the new variant, and it’s 5G I have 5G so thought I would get it, and it’s much lighter than my iPhone 11 so comfortable in my hand, very happy with my new phone",5.0 out of 5 stars,Reviewed in the United Kingdom on 22 December 2021,2
Superb I phone 13,Surprise gift for my wife. She really like the pink colour. I phone 13 is just amazing with awesome picture quality along with great looks. <U+0001F44D>,5.0 out of 5 stars,Reviewed in the United Kingdom on 6 October 2021,2
"That phone, I love it","Excellent piece of kit, great colour, excellent photos. My first Apple phone. I can now understand why people have over them.",5.0 out of 5 stars,Reviewed in the United Kingdom on 12 October 2021,2
Superb,Great product,5.0 out of 5 stars,Reviewed in the United Kingdom on 20 January 2022,7
good,looks great and ez to use,5.0 out of 5 stars,Reviewed in the United Kingdom on 11 March 2022,7
Nice one,I love this phone! Its perfect!,5.0 out of 5 stars,Reviewed in the United Kingdom on 6 December 2021,7
Magnifique!,Personal,5.0 out of 5 stars,Reviewed in the United Kingdom on 6 November 2021,7
rubbish,rubbish,1.0 out of 5 stars,Reviewed in the United Kingdom on 10 March 2022,7
iPhone 13,A+++,5.0 out of 5 stars,Reviewed in the United Kingdom on 23 February 2022,7
very useful,Really like it!,5.0 out of 5 stars,Reviewed in the United Kingdom on 12 January 2022,7
5G battery <U+0001F50B>,"Recently i upgrade to iPhone 13 pro. I have been using this from 5 days. Battery is something I’m not really convinced with it. This is the first time I had this experience I bought a new product and the batter is not really up to the make. May be it’s because of the 5G. But it is bit disappointing, we can’t live in fear we have turn in dark mode, make changes in location, look for videos on YouTube how save battery. Camera quality, built quickly software easy to use iOS15. That’s my honest review about iPhone 13pro 256gb",4.0 out of 5 stars,Reviewed in the United Kingdom on 28 September 2021,7
Buy the iPhone 13 not the max,I bought this as my iPhone 7 stopped working and here are the reasons I bought a iPhone 13 over the pro and max.Apple ui looks so much better than android.You don’t need a better camera when it’s almost twice the price in the pro or max.120hz display isn’t worth the extra price.Smaller phone is better to hold and use than the max.128gb is enough storage for most people.ProsIt’s FastFast charging with 20w charger.Great UINice new camerasBigger screenCan connect external storage5GSmaller notchPicture in PictureSplit screen appsConsNo charger given to you.No Matt coloursNo telephotoNo 6x optical zoomNo night mode scanner4 not 5 GPUSmaller battery than the Pro maxNo Touch ID instead you have stupid Face IDNo promotion displayNo 3rd cameraNo pro resSoftware updates only last for 7 yearsBattery will need replacing after 3 yearsNo usb cAlthough I’ve listed the cons I think the iPhone is still the best phone that you can buy and you will use every day but I’d get the standard iPhone 13 because the max and pro are a rip off the price has become to high for very little extra features compared with the standard phone.And like all smart phones there’s nothing much new each year it’s just new software that improves the features so if you can wait another year buy the iPhone 14 which will possibly have the following.USB cTouch idNo notch screenBattery cameras,4.0 out of 5 stars,Reviewed in the United Kingdom on 24 October 2021,7
Almost perfection.,"Whilst it may be an incremental upgrade over the 12 three key areas have been substantially improved; storage, battery and camera. Face ID still the best. Perfect size - not a slab. It's the overall best phone with a sensibly-sized form factor. The negatives? In an era of 65W charging by the likes Of OnePlus the iPhone charges at a snail's pace - wirelessly it's ridiculously slow. 1200 Htz screen refresh only available on Pro models. Still no USB-C charging. Whilst smaller, the notch is beginning to look ridiculous. No fingerprint reader.",5.0 out of 5 stars,Reviewed in the United Kingdom on 28 December 2021,7
Hanging,"I bought last week from amazon pink one 256, the camera quality is good. But, its just a week and it starts to hang and I don't expect sth like that from Apple phones I have decided to send it back",1.0 out of 5 stars,Reviewed in the United Kingdom on 18 November 2021,5
Absolute quality,I’m an awld fart this is my first new phone and what a phone it is ….highly recommend . Cracking price with a 6 month payment plan. ….buzzing,5.0 out of 5 stars,Reviewed in the United Kingdom on 4 December 2021,5
Good battery life nice size screen and loads of memory,Good battery life nice size screen and loads of memory,5.0 out of 5 stars,Reviewed in the United Kingdom on 31 January 2022,5
Lucky number 13,Love the phone the battery is good but 5g will eat up the battery pretty quickly!,5.0 out of 5 stars,Reviewed in the United Kingdom on 23 October 2021,5
Having a mobile you can rely for n.,Amazon only offered a repair not a replacement. I have lost confidence in this mobile so I hope they don’t send the mobile back has I would like a brand new phone. Lost trust in that old phone only had this since end of November. Not used till 11 December problems with it since out of the box.,1.0 out of 5 stars,Reviewed in the United Kingdom on 5 February 2022,5
iPhone 13 is another great product by Apple,Great picture quality and the colour is amazing,5.0 out of 5 stars,Reviewed in the United Kingdom on 23 October 2021,5
Good value for money as I got 256gb model same price as the 128 gb,Good value for money as I got 256gb model same price as the 128 gb,5.0 out of 5 stars,Reviewed in the United Kingdom on 14 January 2022,5
Iphone,I thought phone was faulty but had it set up by a professional it's now brilliant so please ignore my previous,4.0 out of 5 stars,Reviewed in the United Kingdom on 24 December 2021,5
Gorgeous colour,Lovely pink colour,5.0 out of 5 stars,Reviewed in the United Kingdom on 25 January 2022,5
iPhone 13,Great phone,5.0 out of 5 stars,Reviewed in the United Kingdom on 9 January 2022,5
